Dataset,Batch Size,Optimizer,Learning Rate,Pin Memory,Epochs,Model,Test Accuracy,Training Time (s),Model Path,F1 Score,Precision,Recall
FashionMNIST,32,Adam,0.0001,False,5,ResNet18,89.471429,172.632812,models/FashionMNIST_ResNet18_bs32_Adam_lr0.0001_pinFalse_ep5.pth,0.892964,0.895128,0.894714
FashionMNIST,32,Adam,0.0001,False,5,ResNet50,86.907143,309.262892,models/FashionMNIST_ResNet50_bs32_Adam_lr0.0001_pinFalse_ep5.pth,0.867758,0.868796,0.869071
FashionMNIST,32,SGD,0.001,True,2,ResNet18,88.342857,62.350669,models/FashionMNIST_ResNet18_bs32_SGD_lr0.001_pinTrue_ep2.pth,0.884216,0.886208,0.883429
FashionMNIST,32,SGD,0.001,True,2,ResNet50,84.864286,117.843759,models/FashionMNIST_ResNet50_bs32_SGD_lr0.001_pinTrue_ep2.pth,0.848365,0.853034,0.848643
FashionMNIST,32,SGD,0.001,True,5,ResNet18,89.835714,160.195968,models/FashionMNIST_ResNet18_bs32_SGD_lr0.001_pinTrue_ep5.pth,0.897566,0.899422,0.898357
FashionMNIST,32,SGD,0.001,True,5,ResNet50,88.564286,274.493097,models/FashionMNIST_ResNet50_bs32_SGD_lr0.001_pinTrue_ep5.pth,0.885926,0.887307,0.885643
FashionMNIST,32,SGD,0.0001,True,2,ResNet18,85.607143,61.937216,models/FashionMNIST_ResNet18_bs32_SGD_lr0.0001_pinTrue_ep2.pth,0.854581,0.85591,0.856071
FashionMNIST,32,SGD,0.0001,True,2,ResNet50,78.264286,110.1398,models/FashionMNIST_ResNet50_bs32_SGD_lr0.0001_pinTrue_ep2.pth,0.778106,0.776889,0.782643
FashionMNIST,32,SGD,0.0001,True,5,ResNet18,87.864286,154.285228,models/FashionMNIST_ResNet18_bs32_SGD_lr0.0001_pinTrue_ep5.pth,0.878013,0.878469,0.878643
FashionMNIST,32,SGD,0.0001,True,5,ResNet50,83.364286,274.788318,models/FashionMNIST_ResNet50_bs32_SGD_lr0.0001_pinTrue_ep5.pth,0.827978,0.833309,0.833643
FashionMNIST,32,Adam,0.001,True,2,ResNet18,88.378571,68.121912,models/FashionMNIST_ResNet18_bs32_Adam_lr0.001_pinTrue_ep2.pth,0.883794,0.884756,0.883786
FashionMNIST,32,Adam,0.001,True,2,ResNet50,80.714286,124.160774,models/FashionMNIST_ResNet50_bs32_Adam_lr0.001_pinTrue_ep2.pth,0.799533,0.821794,0.807143
FashionMNIST,32,Adam,0.001,True,5,ResNet18,89.785714,166.932791,models/FashionMNIST_ResNet18_bs32_Adam_lr0.001_pinTrue_ep5.pth,0.898472,0.901197,0.897857
FashionMNIST,32,Adam,0.001,True,5,ResNet50,86.407143,304.444382,models/FashionMNIST_ResNet50_bs32_Adam_lr0.001_pinTrue_ep5.pth,0.863819,0.866362,0.864071
FashionMNIST,32,Adam,0.0001,True,2,ResNet18,88.014286,68.9799,models/FashionMNIST_ResNet18_bs32_Adam_lr0.0001_pinTrue_ep2.pth,0.880242,0.882556,0.880143
FashionMNIST,32,Adam,0.0001,True,2,ResNet50,83.028571,125.367388,models/FashionMNIST_ResNet50_bs32_Adam_lr0.0001_pinTrue_ep2.pth,0.829308,0.830332,0.830286
FashionMNIST,32,Adam,0.0001,True,5,ResNet18,89.685714,167.540537,models/FashionMNIST_ResNet18_bs32_Adam_lr0.0001_pinTrue_ep5.pth,0.895998,0.896053,0.896857
FashionMNIST,32,Adam,0.0001,True,5,ResNet50,86.471429,304.958551,models/FashionMNIST_ResNet50_bs32_Adam_lr0.0001_pinTrue_ep5.pth,0.863509,0.865531,0.864714
